id,time,values
1,2023-01-31 00:00:30,953.8
1,2023-01-31 00:01:00,793.6
1,2023-01-31 00:01:30,951.8
1,2023-01-31 00:03:00,602.9
1,2023-01-31 00:04:00,887.6
1,2023-01-31 00:04:30,624.2
1,2023-01-31 00:05:00,913.1
1,2023-01-31 00:05:30,608.3
1,2023-01-31 00:06:00,727.2
1,2023-01-31 00:06:30,695.3
1,2023-01-31 00:07:30,654.6
1,2023-01-31 00:08:00,608.0
1,2023-01-31 00:09:30,579.8
1,2023-01-31 00:10:00,966.6
1,2023-01-31 00:10:30,970.5
1,2023-01-31 00:12:00,610.8
1,2023-01-31 00:12:30,945.2
1,2023-01-31 00:13:00,845.7
1,2023-01-31 00:16:30,560.0
1,2023-01-31 00:17:00,757.6
1,2023-01-31 00:17:30,614.6
1,2023-01-31 00:18:00,560.4
1,2023-01-31 00:19:00,554.8
1,2023-01-31 00:19:30,573.7
1,2023-01-31 00:22:00,744.0
1,2023-01-31 00:22:30,728.2
1,2023-01-31 00:23:00,566.4
1,2023-01-31 00:23:30,722.5
1,2023-01-31 00:24:00,1.9
1,2023-01-31 00:26:00,856.3
1,2023-01-31 00:28:30,638.4
1,2023-01-31 00:30:00,767.7
1,2023-01-31 00:30:30,596.8
1,2023-01-31 00:32:00,684.5
1,2023-01-31 00:32:30,623.0
1,2023-01-31 00:33:00,847.0
1,2023-01-31 00:35:00,554.5
1,2023-01-31 00:36:00,961.0
1,2023-01-31 00:37:00,830.0
1,2023-01-31 00:39:00,920.8
1,2023-01-31 00:39:30,914.9
1,2023-01-31 00:41:00,764.4
1,2023-01-31 00:42:30,930.4
1,2023-01-31 00:44:30,807.6
1,2023-01-31 00:45:30,607.2
1,2023-01-31 00:46:00,926.6
1,2023-01-31 00:47:00,750.0
1,2023-01-31 00:47:30,916.1
1,2023-01-31 00:49:30,607.2
1,2023-01-31 00:50:30,567.1
1,2023-01-31 00:51:30,671.5
1,2023-01-31 00:53:00,668.7
1,2023-01-31 00:54:00,913.8
1,2023-01-31 00:54:30,959.2
1,2023-01-31 00:55:30,897.2
1,2023-01-31 00:57:30,854.3
1,2023-01-31 01:01:00,594.0
1,2023-01-31 01:01:30,723.7
1,2023-01-31 01:02:30,801.5
1,2023-01-31 01:03:00,884.7
1,2023-01-31 01:04:30,697.4
1,2023-01-31 01:05:00,568.2
1,2023-01-31 01:05:30,589.0
1,2023-01-31 01:06:00,875.6
1,2023-01-31 01:07:30,850.3
1,2023-01-31 01:09:30,996.0
1,2023-01-31 01:10:00,591.5
1,2023-01-31 01:11:00,759.7
1,2023-01-31 01:11:30,791.1
1,2023-01-31 01:12:00,593.0
1,2023-01-31 01:12:30,969.8
1,2023-01-31 01:13:00,773.0
1,2023-01-31 01:13:30,918.8
1,2023-01-31 01:14:30,568.6
1,2023-01-31 01:16:00,868.4
1,2023-01-31 01:17:00,725.0
1,2023-01-31 01:20:00,883.3
1,2023-01-31 01:20:30,622.9
1,2023-01-31 01:21:30,948.9
1,2023-01-31 01:22:30,929.3
1,2023-01-31 01:23:00,794.6
1,2023-01-31 01:23:30,845.5
1,2023-01-31 01:25:00,835.8
1,2023-01-31 01:25:30,662.6
1,2023-01-31 01:26:00,561.5
1,2023-01-31 01:27:00,551.1
1,2023-01-31 01:29:00,872.2
1,2023-01-31 01:30:00,574.4
1,2023-01-31 01:33:30,771.0
1,2023-01-31 01:34:30,999.9
1,2023-01-31 01:40:00,983.1
1,2023-01-31 01:42:00,915.9
1,2023-01-31 01:42:30,925.5
1,2023-01-31 01:43:30,559.8
1,2023-01-31 01:44:30,765.2
1,2023-01-31 01:46:00,954.3
1,2023-01-31 01:47:00,1.2
1,2023-01-31 01:47:30,682.4
1,2023-01-31 01:49:30,806.1
1,2023-01-31 01:50:00,901.8
1,2023-01-31 01:51:00,966.4
1,2023-01-31 01:51:30,730.1
1,2023-01-31 01:52:30,967.2
1,2023-01-31 01:53:30,898.0
1,2023-01-31 01:54:30,591.5
1,2023-01-31 01:55:30,680.5
1,2023-01-31 01:58:30,867.5
1,2023-01-31 01:59:00,606.2
1,2023-01-31 02:00:30,829.8
1,2023-01-31 02:01:00,929.2
1,2023-01-31 02:01:30,584.4
1,2023-01-31 02:05:00,613.3
1,2023-01-31 02:05:30,895.1
1,2023-01-31 02:07:30,719.1
1,2023-01-31 02:08:00,657.7
1,2023-01-31 02:08:30,828.6
1,2023-01-31 02:09:00,908.2
1,2023-01-31 02:10:00,583.4
1,2023-01-31 02:10:30,895.9
1,2023-01-31 02:12:00,737.6
1,2023-01-31 02:12:30,927.8
1,2023-01-31 02:13:00,667.4
1,2023-01-31 02:15:00,950.1
1,2023-01-31 02:17:30,917.8
1,2023-01-31 02:18:00,931.0
1,2023-01-31 02:20:00,922.3
1,2023-01-31 02:20:30,629.8
1,2023-01-31 02:21:00,897.8
1,2023-01-31 02:21:30,681.3
1,2023-01-31 02:22:00,580.0
1,2023-01-31 02:24:30,951.3
1,2023-01-31 02:25:00,710.0
1,2023-01-31 02:25:30,566.9
1,2023-01-31 02:26:00,948.1
1,2023-01-31 02:27:30,724.1
1,2023-01-31 02:28:30,706.8
1,2023-01-31 02:29:00,563.6
1,2023-01-31 02:29:30,642.7
1,2023-01-31 02:30:30,567.0
1,2023-01-31 02:32:00,975.0
1,2023-01-31 02:33:30,826.4
